Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable,quarantine_reason
INC-9167,Theft,,Vehicle,LAND ROVER,DISCOVERY SPORT 2.2 SD4 SE-2015-2018,2015.0,2023-03-18 14:00:00,16295.4,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9212,Burglary,,Contents,,,,2023-03-14 22:03:00,87710.4,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-9283,Theft,,Contents,,,,2023-03-08 05:30:00,36304.97,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-9291,Theft,,Contents,,,,2023-03-07 13:15:00,18725.0,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-9386,Theft,,Vehicle,NISSAN,NP200 1.6 S P/U S/C-2009-2011,2011.0,2023-02-24 13:41:00,58599.61,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9498,Theft,,Vehicle,KIA,RIO 1.4 5DR A/T-2011-2018,2016.0,2023-02-12 09:30:00,1300.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9505,Theft,,Vehicle,TOYOTA,FORTUNER 2.4GD-6 4X4 A/T-2017-2020,2020.0,2023-02-11 13:10:00,529184.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9529,Theft,,Contents,,,,2023-02-10 01:45:00,10749.0,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-9540,Armed Robbery,,Contents,,,,2023-02-09 11:50:00,0.0,,Armed Robbery,,,False,True,missing_suburb
INC-9570,Theft,,Vehicle,HONDA,CRV 2.0 COMFORT-2012-2015,2014.0,2023-02-06 19:00:00,2500.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9644,Theft,,Vehicle,VOLKSWAGEN,POLO VIVO GP 1.4 TRENDLINE TIP 5DR-2014-2018,2017.0,2023-01-29 23:00:00,8367.71,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9693,Theft,,Vehicle,VOLKSWAGEN,POLO VIVO 1.6 5Dr-2010-2014,2010.0,2023-01-25 10:40:00,1366.02,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9706,Theft,,Vehicle,VOLKSWAGEN,POLO 1.6 COMFORTLINE-2005-2010,2007.0,2023-01-24 20:30:00,75050.31,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9722,Stolen and recovered,,Vehicle,LEXUS,ES 250 EX-2018-,2019.0,2023-01-22 13:30:00,169515.09,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9734,Theft,,Vehicle,TOYOTA,FORTUNER 2.8GD-6 R/B A/T-2020-,2020.0,2023-01-21 14:25:00,584998.0,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9786,Theft,,Contents,,,,2023-01-16 13:00:00,37047.0,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-9857,Theft,,Vehicle,MERCEDES-BENZ,GLS 400d-2019-,2020.0,2023-01-09 15:45:00,8667.3,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9923,Theft,,Vehicle,VOLKSWAGEN,POLO 1.0 TSI LIFE DSG-2022-,2022.0,2023-01-03 05:00:00,2992.77,Motor Vehicle - Theft,Theft,,,True,True,missing_suburb
INC-9938,Theft,,Contents,,,,2023-01-02 11:12:00,12482.85,Home contents - Theft,Theft,,,True,True,missing_suburb
INC-9958,Theft,,Contents,,,,2022-12-31 18:28:00,14216.65,Home contents - Theft,Theft,,,True,True,missing_suburb
