Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable
INC-9946,Theft,PARK HILL,Contents,,,,2023-01-01 23:03:00,4223.89,Home contents - Theft,Theft,PARK HILL,PARK HILL,True,True
INC-9947,Theft,FOURWAYS,Vehicle,SUZUKI,SWIFT 1.2 GLX-2019-,2022.0,2023-01-01 18:42:00,261598.0,Motor Vehicle - Theft,Theft,FOURWAYS,FOURWAYS,True,True
INC-9948,Theft,CLUBVIEW,Vehicle,NISSAN,NP200 1.5 DCi  A/C SAFETY PACK P/U S/C-2011-2023,2015.0,2023-01-01 15:32:00,1366.02,Motor Vehicle - Theft,Theft,CLUBVIEW,CLUBVIEW,True,True
INC-9949,Theft,EERSTERUST,Contents,,,,2023-01-01 05:24:00,26065.0,Home contents - Theft,Theft,EERSTERUST,EERSTERUST,True,True
INC-9950,Theft,KNYSNA,Contents,,,,2023-01-01 05:12:14,8787.0,Home contents - Theft,Theft,KNYSNA,KNYSNA,True,True
INC-9951,Theft,VANDERBIJLPARK C. C.,Contents,,,,2023-01-01 05:00:00,36770.0,Home contents - Theft,Theft,VANDERBIJLPARK C. C.,VANDERBIJLPARK C. C.,True,True
INC-9952,Theft,WALMER,Contents,,,,2023-01-01 04:22:00,17852.4,Home contents - Theft,Theft,WALMER,WALMER,True,True
INC-9953,Theft,SANDHURST,Contents,,,,2023-01-01 02:28:00,28710.0,Home contents - Theft,Theft,SANDHURST,SANDHURST,True,True
INC-9954,Theft,NIEUW MUCKLENEUK,Contents,,,,2022-12-31 23:59:00,84463.74,Home contents - Theft,Theft,NIEUW MUCKLENEUK,NIEUW MUCKLENEUK,True,True
INC-9955,Theft,BOKSBURG,Contents,,,,2022-12-31 23:50:29,32412.0,Home contents - Theft,Theft,BOKSBURG,BOKSBURG,True,True
INC-9956,Theft,BEN FLEUR,Contents,,,,2022-12-31 23:30:44,20377.0,Home contents - Theft,Theft,BEN FLEUR,BEN FLEUR,True,True
INC-9957,Theft,SELBORNE,Contents,,,,2022-12-31 21:45:00,105798.0,Home contents - Theft,Theft,SELBORNE,SELBORNE,True,True
INC-9959,Armed Robbery,NEWLANDS,Contents,,,,2022-12-31 18:13:00,110893.61,Home contents - Theft,Theft,NEWLANDS,NEWLANDS,True,True
INC-9960,Theft,DE BRON,Contents,,,,2022-12-31 10:00:00,137526.35,Home contents - Theft,Theft,DE BRON,DE BRON,True,True
INC-9961,Theft,KNYSNA,Contents,,,,2022-12-31 09:46:07,5528.0,Home contents - Theft,Theft,KNYSNA,KNYSNA,True,True
INC-9962,Theft,EAST LONDON,Contents,,,,2022-12-31 04:00:00,84650.0,Home contents - Theft,Theft,EAST LONDON,EAST LONDON,True,True
