Incident,PERIL,SUBURB,ITEM_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,INCIDENT_DATE_TIME,CLAIM_AMOUNT,ITEM_CATEGORY,ITEM_PERIL_DESCR,SUBURB_RAW,SUBURB_CLEAN,amount_valid,time_reliable,METRO
INC-2263,Theft,BRYANSTON,Contents,,,,2025-05-20 02:01:00,147373.2,Home contents - Theft,Theft,BRYANSTON,BRYANSTON,True,True,Gauteng
INC-2269,Armed Robbery,WATERKLOOF RIDGE,Vehicle,TOYOTA,PRADO VX 3.0 TDi A/T-2013-2017,2017.0,2025-05-18 16:59:00,18743.76,Motor Vehicle - Theft,Theft,WATERKLOOF RIDGE,WATERKLOOF RIDGE,True,True,Gauteng
INC-2270,Armed Robbery,WATERKLOOF RIDGE,Vehicle,TOYOTA,COROLLA CROSS 1.8 XR HYBRID-2021-,2023.0,2025-05-18 16:59:00,22127.87,Motor Vehicle - Theft,Theft,WATERKLOOF RIDGE,WATERKLOOF RIDGE,True,True,Gauteng
INC-2271,Armed Robbery,WATERKLOOF RIDGE,Contents,,,,2025-05-18 16:59:00,92620.0,Home contents - Theft,Theft,WATERKLOOF RIDGE,WATERKLOOF RIDGE,True,True,Gauteng
INC-2274,Theft,WATERKLOOF RIDGE,Vehicle,TOYOTA,PRADO VX 3.0 TDi A/T-2013-2017,2017.0,2025-05-18 04:06:00,42693.94,Motor Vehicle - Theft,Theft,WATERKLOOF RIDGE,WATERKLOOF RIDGE,True,True,Gauteng
INC-2275,Theft,WATERKLOOF RIDGE,Vehicle,TOYOTA,COROLLA CROSS 1.8 XR HYBRID-2021-,2023.0,2025-05-18 03:36:00,117618.91,Motor Vehicle - Theft,Theft,WATERKLOOF RIDGE,WATERKLOOF RIDGE,True,True,Gauteng
INC-2283,Theft,CENTURION CENTRAL,Contents,,,,2025-05-17 08:00:00,45597.6,Home contents - Theft,Theft,CENTURION CENTRAL,CENTURION CENTRAL,True,True,Gauteng
INC-2290,Theft,WATERKLOOF RIDGE,Contents,,,,2025-05-16 02:21:00,34396.97,Home contents - Theft,Theft,WATERKLOOF RIDGE,WATERKLOOF RIDGE,True,True,Gauteng
INC-2294,Theft,CLAREMONT,Vehicle,BMW,X3 xDRIVE 20d M-SPORT (G01)-2021-,2022.0,2025-05-15 10:30:00,1750.0,Motor Vehicle - Theft,Theft,CLAREMONT,CLAREMONT,True,True,Cape Town
INC-2298,Theft,SOMERSET WEST,Vehicle,MAZDA,CX-3 2.0 ACTIVE A/T-2015-,2020.0,2025-05-14 19:15:00,3999.78,Motor Vehicle - Theft,Theft,SOMERSET WEST,SOMERSET WEST,True,True,Cape Town
