feature,coefficient,absolute_importance,effect
categorical__SUBURB_MORNINGSIDE,0.3968496938307936,0.3968496938307936,increases high-value likelihood
categorical__SUBURB_DIE HOEWES,0.3945653554563914,0.3945653554563914,increases high-value likelihood
categorical__SUBURB_KRUGERSDORP NORTH,0.3926924579116995,0.3926924579116995,increases high-value likelihood
categorical__SUBURB_PIERRE VAN RYNEVELD,-0.38963660211393464,0.38963660211393464,decreases high-value likelihood
categorical__SUBURB_ERASMUSKLOOF,0.38839706838041027,0.38839706838041027,increases high-value likelihood
categorical__SUBURB_PLETTENBERG BAY,-0.3880029347897671,0.3880029347897671,decreases high-value likelihood
categorical__SUBURB_VINCENT,-0.38036592834884353,0.38036592834884353,decreases high-value likelihood
categorical__VEHICLE_MAKE_GWM,-0.37904565299110543,0.37904565299110543,decreases high-value likelihood
categorical__SUBURB_WESTDENE,0.37763528242040845,0.37763528242040845,increases high-value likelihood
categorical__SUBURB_GLENVISTA,0.3768414387040643,0.3768414387040643,increases high-value likelihood
categorical__SUBURB_BELLVILLE,0.37367672102136906,0.37367672102136906,increases high-value likelihood
categorical__SUBURB_RIDGEWAY,-0.3725970329413993,0.3725970329413993,decreases high-value likelihood
categorical__SUBURB_EMMARENTIA,0.37214926154852385,0.37214926154852385,increases high-value likelihood
categorical__SUBURB_GREENHILLS,0.36978468470807274,0.36978468470807274,increases high-value likelihood
categorical__SUBURB_FOURWAYS,0.36891687783276794,0.36891687783276794,increases high-value likelihood
categorical__SUBURB_WITPOORTJIE,0.35942754326218873,0.35942754326218873,increases high-value likelihood
categorical__VEHICLE_MAKE_MAZDA,0.35759318232110543,0.35759318232110543,increases high-value likelihood
categorical__SUBURB_LOEVENSTEIN,-0.3555114036428142,0.3555114036428142,decreases high-value likelihood
categorical__SUBURB_PAULSHOF,-0.3515092883451543,0.3515092883451543,decreases high-value likelihood
categorical__SUBURB_WILGEHEUWEL,0.34792369519226823,0.34792369519226823,increases high-value likelihood
categorical__SUBURB_VERULAM,0.3457690848043878,0.3457690848043878,increases high-value likelihood
categorical__SUBURB_SHERWOOD,-0.34441647568688777,0.34441647568688777,decreases high-value likelihood
categorical__SUBURB_WATERKLOOF GLEN,0.33795819192645593,0.33795819192645593,increases high-value likelihood
categorical__SUBURB_RIVONIA,-0.3369346935567856,0.3369346935567856,decreases high-value likelihood
categorical__SUBURB_MUIZENBERG,0.33653444835951657,0.33653444835951657,increases high-value likelihood
categorical__SUBURB_BRACKENFELL CENTRAL,-0.3334472929112329,0.3334472929112329,decreases high-value likelihood
categorical__ITEM_PERIL_DESCR_Theft,-0.33123113714869734,0.33123113714869734,decreases high-value likelihood
categorical__SUBURB_BRACKENHURST,0.33086844492683476,0.33086844492683476,increases high-value likelihood
categorical__SUBURB_SPRINGFIELD,0.32807084554903737,0.32807084554903737,increases high-value likelihood
categorical__SUBURB_HARTEBEESPOORT,0.32788048499683453,0.32788048499683453,increases high-value likelihood
categorical__SUBURB_VIERLANDEN,-0.3265754022979773,0.3265754022979773,decreases high-value likelihood
categorical__SUBURB_MILNERTON,0.32485357164766704,0.32485357164766704,increases high-value likelihood
categorical__SUBURB_MONTANA,0.3241601611794225,0.3241601611794225,increases high-value likelihood
categorical__SUBURB_EDGEMEAD,-0.3208565203640164,0.3208565203640164,decreases high-value likelihood
categorical__SUBURB_EDENVALE,0.320713965574885,0.320713965574885,increases high-value likelihood
