"year","station","loc_mn","dc_mn","longitude","latitude","other_theft","arson","assault_gbh","attempted_murder","attempted_sexoff","bank_robbery","burglary_nonres","burglary_res","carjacking","commercial_crime","common_assault","common_robbery","contact_sexoff","dui","drug_crime","illegal_firearms","kidnapping","malicious_damage","murder","rape","robbery_nonres","robbery_res","cash_transit_robbery","aggr_robbery","sexual_assault","sexual_offences","police_detected_sexoff","shoplifting","stock_theft","vehicle_theft","theft_from_vehicle","truck_hijacking"
"2019/2020","ngqeleni","nyandeni","o.r.tambo","29.03225","-31.67193",117,7,344,44,10,0,92,168,8,24,87,21,5,6,75,53,28,82,73,167,43,17,1,145,3,183,0,22,86,14,24,2
"2020/2021","ngqeleni","nyandeni","o.r.tambo","29.03225","-31.67193",123,16,308,45,8,0,60,172,14,22,107,23,6,1,55,61,2,102,81,125,43,18,0,120,18,151,0,20,94,7,19,0
"2021/2022","ngqeleni","nyandeni","o.r.tambo","29.03225","-31.67193",116,5,314,30,15,0,62,94,23,28,107,20,6,18,155,62,23,98,90,143,43,15,1,133,13,171,0,14,89,18,10,0
"2022/2023","ngqeleni","nyandeni","o.r.tambo","29.03225","-31.67193",137,6,342,41,10,0,90,137,28,24,153,22,6,4,106,58,28,101,83,148,67,20,1,167,9,167,0,14,85,20,9,1
"2008/2009","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",92,9,189,13,3,0,4,127,2,5,27,16,7,6,90,11,1,40,35,48,7,13,0,28,0,52,0,13,97,3,8,0
"2009/2010","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",65,14,248,10,5,0,13,132,1,7,57,12,6,8,101,11,1,51,52,71,6,16,0,32,6,82,0,8,83,5,14,0
"2010/2011","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",83,8,211,8,9,0,41,116,2,8,65,31,4,2,137,21,1,89,58,65,6,18,0,30,8,84,0,2,203,4,2,0
"2011/2012","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",66,6,240,8,4,0,48,112,1,14,53,22,8,14,159,6,1,68,37,79,4,15,0,44,2,89,0,3,104,3,6,1
"2012/2013","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",74,5,229,7,3,0,50,130,2,23,53,12,4,13,101,11,1,54,37,69,16,13,0,55,6,80,0,3,95,6,18,0
"2013/2014","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",79,15,240,10,4,0,77,109,3,10,35,15,7,4,145,9,14,59,41,67,23,28,0,71,5,77,1,1,60,9,11,0
"2014/2015","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",68,17,216,11,10,0,59,123,1,14,35,13,6,22,165,17,12,55,32,86,20,16,0,66,2,98,0,0,71,6,15,0
"2015/2016","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",81,6,252,19,9,0,58,141,3,9,52,17,7,1,158,15,25,63,51,83,14,22,0,64,9,102,0,0,78,5,10,0
"2016/2017","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",71,10,233,12,3,0,55,126,1,11,54,12,6,6,172,17,12,64,50,92,15,35,0,96,11,106,0,5,91,5,12,2
"2017/2018","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",64,7,206,7,3,0,42,93,2,8,67,11,6,8,159,10,21,63,44,66,16,35,0,76,12,81,0,1,34,2,9,0
"2018/2019","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",65,9,217,12,4,0,62,138,2,15,55,4,6,1,64,9,21,84,42,67,14,18,0,52,7,78,0,2,58,7,14,0
"2019/2020","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",95,9,203,13,8,0,66,81,2,20,58,9,6,1,18,9,21,102,57,90,19,22,0,74,8,106,0,6,81,9,4,1
"2020/2021","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",75,3,156,6,5,0,55,99,7,21,53,6,4,1,24,8,21,65,56,76,14,12,2,49,4,87,1,1,68,6,9,1
"2021/2022","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",72,6,186,13,2,0,60,73,1,15,82,14,6,1,23,1,21,58,54,69,27,10,0,53,2,73,0,7,90,10,4,0
"2022/2023","ngqamakhwe","mnquma","amathole","27.94282","-32.20241",62,13,172,13,11,0,61,86,8,17,55,14,6,1,20,5,22,62,80,88,12,23,0,78,6,105,0,0,108,7,6,0
"2008/2009","ngome","abaqulusi","zululand","31.38986","-27.83284",42,7,33,3,0,0,4,23,0,0,33,4,8,1,4,2,1,13,4,10,0,1,0,8,1,15,0,0,29,0,3,0
"2009/2010","ngome","abaqulusi","zululand","31.38986","-27.83284",30,3,44,3,1,0,3,23,0,1,51,3,6,0,10,4,1,8,5,10,3,3,0,13,0,11,0,0,31,0,2,0
"2010/2011","ngome","abaqulusi","zululand","31.38986","-27.83284",39,1,44,7,3,0,5,29,0,0,50,5,6,1,11,5,1,15,1,11,1,2,0,5,2,16,0,1,24,1,4,0
"2011/2012","ngome","abaqulusi","zululand","31.38986","-27.83284",33,2,37,4,0,0,8,22,1,1,34,2,6,3,21,5,1,7,2,15,0,0,0,3,0,15,0,0,48,1,1,0
"2012/2013","ngome","abaqulusi","zululand","31.38986","-27.83284",31,2,36,2,0,0,12,18,1,3,50,1,6,2,15,5,1,8,4,12,0,1,0,4,1,13,0,0,27,0,7,0
"2013/2014","ngome","abaqulusi","zululand","31.38986","-27.83284",18,5,47,2,0,0,8,24,0,0,50,3,6,0,21,4,12,12,5,3,3,1,0,6,1,4,0,0,26,1,4,0
"2014/2015","ngome","abaqulusi","zululand","31.38986","-27.83284",25,2,43,3,0,0,4,15,0,0,51,1,6,3,20,8,13,12,3,7,1,0,0,2,1,8,0,0,15,0,2,0
"2015/2016","ngome","abaqulusi","zululand","31.38986","-27.83284",17,0,33,2,1,0,8,10,0,1,38,3,6,8,14,2,13,19,3,9,4,0,0,8,0,10,0,0,23,0,2,0
"2016/2017","ngome","abaqulusi","zululand","31.38986","-27.83284",29,1,40,3,0,0,8,8,0,0,20,4,6,15,30,2,13,13,3,5,0,0,0,4,1,6,0,0,34,0,8,0
"2017/2018","ngome","abaqulusi","zululand","31.38986","-27.83284",27,2,40,5,1,0,6,16,0,3,29,2,6,24,27,10,13,11,1,14,2,1,0,5,3,18,0,0,52,0,2,0
"2018/2019","ngome","abaqulusi","zululand","31.38986","-27.83284",20,0,31,0,0,0,3,7,0,0,26,3,6,56,28,12,13,13,1,10,3,0,0,7,2,12,0,0,17,0,3,0
"2019/2020","ngome","abaqulusi","zululand","31.38986","-27.83284",13,0,35,1,0,0,10,7,1,0,23,0,6,114,23,3,12,12,1,9,0,0,0,1,2,11,0,0,24,1,2,0
"2020/2021","ngome","abaqulusi","zululand","31.38986","-27.83284",14,0,22,2,0,0,3,12,1,2,19,0,6,8,1,3,12,13,3,9,0,1,0,4,1,10,0,0,28,1,1,0
"2021/2022","ngome","abaqulusi","zululand","31.38986","-27.83284",14,0,24,4,0,0,13,2,0,2,16,1,6,13,0,0,13,11,3,12,0,1,0,2,0,12,0,0,18,0,1,0
"2022/2023","ngome","abaqulusi","zululand","31.38986","-27.83284",23,0,23,3,0,0,9,7,0,3,14,0,6,18,12,1,23,8,3,10,0,1,0,2,1,11,0,0,27,0,5,0
"2008/2009","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",71,1,36,1,1,0,12,38,2,5,27,5,6,6,4,2,1,17,1,6,2,1,0,14,0,7,0,4,3,3,8,1
"2009/2010","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",59,3,39,0,0,0,16,47,0,6,14,2,6,7,12,1,1,11,0,2,1,1,0,7,0,2,0,5,4,4,6,0
"2010/2011","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",50,0,36,0,0,0,9,32,0,8,17,2,6,4,18,2,1,16,2,5,1,8,0,12,1,6,0,1,3,5,0,0
"2011/2012","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",61,1,24,1,0,0,7,14,0,5,9,1,6,13,10,3,1,7,0,5,1,3,0,4,0,5,0,3,0,2,2,0
"2012/2013","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",75,0,26,3,0,0,5,55,1,11,19,1,6,11,27,1,1,5,3,6,4,1,0,8,0,6,0,4,0,2,5,0
"2013/2014","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",61,0,21,0,2,0,4,24,0,7,13,2,6,12,19,1,12,6,2,7,1,1,0,4,1,10,0,1,3,2,7,1
"2014/2015","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",49,2,15,1,0,0,1,43,0,4,7,1,6,12,36,0,13,5,2,4,3,3,0,8,0,4,0,2,3,7,11,2
"2015/2016","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",69,2,26,1,0,0,8,34,0,4,16,2,6,8,52,0,13,7,0,10,1,2,0,4,1,11,0,3,0,0,16,0
"2016/2017","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",61,0,24,1,0,0,5,34,0,2,12,3,6,12,37,2,24,7,1,0,1,4,0,8,1,1,3,1,4,2,23,0
"2017/2018","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",61,0,28,1,0,0,9,28,1,8,20,3,6,15,32,0,12,9,0,4,2,3,0,8,0,4,0,3,1,3,31,0
"2018/2019","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",82,0,36,2,0,0,14,34,0,10,22,4,6,12,4,2,12,11,3,3,4,2,0,8,0,3,0,2,1,1,30,1
"2019/2020","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",49,2,12,0,0,0,11,29,0,14,15,2,6,11,9,1,12,5,0,6,1,3,0,10,2,8,0,0,4,5,16,0
"2020/2021","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",54,0,18,2,0,0,10,16,0,7,19,2,7,2,1,1,13,5,3,1,3,1,0,10,0,2,0,1,7,0,14,0
"2021/2022","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",51,1,24,0,0,0,7,8,0,7,20,3,6,2,0,0,12,14,2,6,5,0,0,14,1,7,0,7,4,1,14,0
"2022/2023","ngodwana","city of mbombela","ehlanzeni","30.67429","-25.5708",36,1,21,1,0,0,8,12,0,9,40,3,6,0,0,5,12,5,1,6,3,3,0,11,2,8,0,1,2,3,15,0
"2008/2009","ngcobo","engcobo","chris hani","27.99961","-31.67635",257,11,282,19,6,0,36,189,6,40,167,56,6,22,35,27,1,93,64,69,8,11,1,57,0,75,0,67,66,37,37,0
"2009/2010","ngcobo","engcobo","chris hani","27.99961","-31.67635",177,22,319,15,13,0,77,210,3,121,200,81,5,36,38,16,1,93,62,89,21,16,0,68,2,107,0,77,103,20,61,0
"2010/2011","ngcobo","engcobo","chris hani","27.99961","-31.67635",218,21,290,22,11,0,86,240,9,246,177,44,9,22,25,23,1,107,82,107,51,27,5,148,0,123,0,64,107,50,119,1
"2011/2012","ngcobo","engcobo","chris hani","27.99961","-31.67635",161,11,328,15,9,0,88,192,3,119,113,24,11,12,14,30,1,89,79,109,20,37,0,120,0,126,2,67,109,37,109,0
"2012/2013","ngcobo","engcobo","chris hani","27.99961","-31.67635",153,14,277,27,11,0,88,181,7,167,89,30,5,7,26,31,1,93,104,131,29,26,3,138,0,145,1,54,108,75,155,2
"2013/2014","ngcobo","engcobo","chris hani","27.99961","-31.67635",66,4,95,13,1,0,17,189,9,2,80,6,6,6,95,15,23,52,40,71,3,20,0,83,1,73,0,0,3,23,66,0
"2014/2015","ngcobo","engcobo","chris hani","27.99961","-31.67635",124,7,233,24,3,0,53,103,3,74,52,14,5,23,96,54,12,47,80,125,38,20,0,91,2,133,0,48,53,39,94,0
"2015/2016","ngcobo","engcobo","chris hani","27.99961","-31.67635",68,4,223,20,8,0,29,59,5,51,33,12,6,16,156,51,21,40,83,105,24,16,0,69,2,115,1,40,77,37,45,0
"2016/2017","ngcobo","engcobo","chris hani","27.99961","-31.67635",146,19,225,29,10,0,70,151,0,80,48,22,6,17,169,71,21,78,77,118,17,9,1,56,0,128,0,36,107,35,109,0
"2017/2018","ngcobo","engcobo","chris hani","27.99961","-31.67635",124,8,208,26,5,0,67,137,2,87,49,23,5,8,175,51,22,72,89,115,29,14,1,84,4,127,0,30,110,16,115,0
"2018/2019","ngcobo","engcobo","chris hani","27.99961","-31.67635",129,8,257,26,13,0,58,169,8,120,40,28,7,2,51,22,17,82,103,104,21,18,3,91,4,122,0,35,110,11,144,1
"2019/2020","ngcobo","engcobo","chris hani","27.99961","-31.67635",121,11,227,14,5,0,51,140,8,87,52,23,7,22,28,43,17,54,88,146,17,14,0,66,3,155,0,29,124,17,88,0
"2020/2021","ngcobo","engcobo","chris hani","27.99961","-31.67635",130,6,211,13,5,0,55,82,6,93,56,19,6,16,51,43,17,64,77,106,30,13,1,68,6,117,0,27,66,4,48,0
"2021/2022","ngcobo","engcobo","chris hani","27.99961","-31.67635",134,8,289,32,7,0,59,104,8,97,94,16,4,114,72,28,2,104,90,120,26,9,1,71,3,132,0,17,66,22,36,0
"2022/2023","ngcobo","engcobo","chris hani","27.99961","-31.67635",129,5,289,35,8,0,71,110,11,49,91,17,4,48,66,70,16,88,126,122,26,15,0,78,6,138,0,14,45,15,46,0
"2008/2009","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",122,5,140,27,3,0,14,286,8,1,76,58,8,12,21,15,1,52,44,46,3,20,0,98,0,53,0,0,6,47,46,3
"2009/2010","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",70,8,155,20,1,0,11,283,16,8,116,29,9,58,14,29,1,92,39,53,7,68,0,155,1,60,0,0,8,23,44,0
"2010/2011","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",141,8,196,29,6,0,5,239,10,12,176,59,6,20,24,13,1,98,33,62,5,44,0,158,0,68,0,1,8,26,63,1
"2011/2012","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",109,2,186,32,5,0,8,212,6,3,143,30,5,9,44,18,1,80,45,59,18,48,0,151,2,69,0,0,9,16,63,0
"2012/2013","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",78,4,129,5,1,0,19,152,7,2,94,12,4,14,86,19,1,59,35,74,9,12,0,78,4,81,0,0,4,10,78,0
"2013/2014","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",590,24,644,74,22,0,128,543,49,370,400,82,18,27,102,55,29,347,139,250,74,75,0,447,11,294,2,89,1,174,437,2
"2014/2015","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",66,2,116,9,2,0,16,160,13,4,82,9,4,2,90,26,13,45,39,68,7,20,0,78,2,74,0,0,7,17,34,1
"2015/2016","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",94,2,109,5,1,0,16,195,5,3,92,6,8,3,130,13,12,49,27,65,13,8,0,56,7,77,0,0,9,18,51,0
"2016/2017","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",99,9,131,19,1,0,15,285,21,8,119,3,10,7,126,14,12,76,36,60,18,19,0,110,15,82,0,0,8,41,75,3
"2017/2018","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",82,3,122,16,1,0,22,223,12,5,109,4,11,2,118,23,13,68,36,38,18,14,0,82,6,53,0,1,1,26,86,0
"2018/2019","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",105,10,100,16,4,0,24,239,22,9,79,9,5,2,41,11,14,57,36,57,25,16,0,121,5,69,0,2,10,42,64,0
"2019/2020","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",115,3,115,13,3,0,28,206,10,20,111,16,5,7,31,9,14,71,36,49,15,12,0,85,15,70,1,0,3,16,32,0
"2020/2021","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",96,2,99,11,0,0,20,148,9,45,107,6,6,13,38,11,14,54,35,50,6,7,0,47,7,57,0,0,9,16,28,1
"2021/2022","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",87,7,130,14,2,0,27,153,30,44,129,6,6,154,34,13,12,83,34,57,12,8,0,81,4,63,0,0,9,33,23,0
"2022/2023","ngangelizwe","king sabata dalindyebo","o.r.tambo","28.79572","-31.60532",75,7,91,8,1,0,31,159,19,33,95,7,6,20,9,2,12,55,59,35,8,6,0,68,9,45,0,0,9,28,30,0
"2008/2009","newlands east","ethekwini","ethekwini","30.97478","-29.78514",480,5,210,27,0,0,60,305,86,30,434,75,17,91,150,18,1,204,23,55,22,35,1,389,25,89,0,37,0,194,272,0
"2009/2010","newlands east","ethekwini","ethekwini","30.97478","-29.78514",382,2,170,31,0,0,51,397,138,44,381,53,9,69,164,24,1,210,19,71,19,55,0,420,18,94,0,27,1,162,237,1
"2010/2011","newlands east","ethekwini","ethekwini","30.97478","-29.78514",435,3,141,38,0,0,62,363,64,40,326,41,6,87,207,25,1,199,11,60,11,30,1,240,11,71,0,24,0,146,280,0
"2011/2012","newlands east","ethekwini","ethekwini","30.97478","-29.78514",363,3,117,26,0,0,48,351,68,23,253,24,9,192,285,37,1,136,20,35,11,27,0,233,9,49,1,35,0,85,179,0
"2012/2013","newlands east","ethekwini","ethekwini","30.97478","-29.78514",470,4,122,43,2,0,59,489,79,51,252,35,5,299,427,31,1,166,21,63,18,34,0,251,7,75,3,50,0,76,278,0
"2013/2014","newlands east","ethekwini","ethekwini","30.97478","-29.78514",531,2,150,38,0,0,42,495,83,31,233,53,10,119,500,22,23,165,11,37,13,42,0,285,12,55,1,35,0,73,233,0
"2014/2015","newlands east","ethekwini","ethekwini","30.97478","-29.78514",400,3,158,51,0,0,38,380,51,44,207,37,5,166,544,48,25,122,15,35,28,45,0,216,8,46,2,46,0,112,103,0
"2015/2016","newlands east","ethekwini","ethekwini","30.97478","-29.78514",379,1,136,37,0,0,48,310,47,68,211,47,7,268,474,19,16,137,14,54,18,47,1,223,12,67,3,66,0,107,151,2
"2016/2017","newlands east","ethekwini","ethekwini","30.97478","-29.78514",370,3,168,34,0,0,42,407,108,64,215,35,5,235,433,21,37,145,13,22,17,36,0,267,10,35,4,39,0,99,171,1
"2017/2018","newlands east","ethekwini","ethekwini","30.97478","-29.78514",333,0,113,34,0,0,37,325,102,177,230,24,7,375,235,24,39,167,16,40,23,35,0,321,10,51,1,55,3,101,168,0
"2018/2019","newlands east","ethekwini","ethekwini","30.97478","-29.78514",394,3,161,51,0,0,52,394,98,101,323,42,4,346,213,13,11,180,19,50,29,39,0,337,5,57,2,40,0,142,136,1
"2019/2020","newlands east","ethekwini","ethekwini","30.97478","-29.78514",434,2,150,52,1,0,31,383,105,79,310,66,6,252,102,8,39,165,22,35,31,75,0,368,10,46,2,25,1,112,90,0
"2020/2021","newlands east","ethekwini","ethekwini","30.97478","-29.78514",399,0,107,45,0,0,37,196,56,96,197,38,5,16,64,9,18,114,19,36,38,58,0,273,8,47,0,37,0,89,119,0
"2021/2022","newlands east","ethekwini","ethekwini","30.97478","-29.78514",407,16,121,62,0,0,71,196,125,109,216,44,7,7,68,17,62,171,22,42,19,55,0,364,6,49,0,78,1,127,125,0
"2022/2023","newlands east","ethekwini","ethekwini","30.97478","-29.78514",316,3,114,83,2,0,40,233,69,145,179,66,4,5,121,28,20,109,29,38,26,93,0,329,13,55,0,146,0,107,126,2
"2008/2009","newcastle","newcastle","amajuba","29.93826","-27.76069",837,7,225,17,0,0,224,411,4,260,210,88,17,431,269,6,1,221,21,29,26,10,1,88,14,52,0,448,40,123,372,0
"2009/2010","newcastle","newcastle","amajuba","29.93826","-27.76069",879,9,253,16,0,0,204,423,6,233,363,71,9,434,298,10,1,228,14,42,20,10,4,108,19,66,0,454,59,103,312,2
"2010/2011","newcastle","newcastle","amajuba","29.93826","-27.76069",827,14,265,14,3,0,214,385,7,310,397,68,12,256,231,6,1,195,18,43,27,15,1,100,21,74,0,365,49,77,379,3
"2011/2012","newcastle","newcastle","amajuba","29.93826","-27.76069",882,13,301,18,0,0,213,420,3,384,381,120,8,286,234,11,1,201,10,60,20,7,0,103,24,88,2,368,44,42,251,1
"2012/2013","newcastle","newcastle","amajuba","29.93826","-27.76069",809,7,272,13,1,0,240,373,7,468,361,88,10,237,319,11,1,187,13,50,16,20,0,133,17,74,2,320,43,52,254,2
"2013/2014","newcastle","newcastle","amajuba","29.93826","-27.76069",831,5,283,15,3,0,219,446,4,454,385,105,7,184,371,12,22,160,19,47,15,11,0,142,10,61,1,316,50,36,260,2
"2014/2015","newcastle","newcastle","amajuba","29.93826","-27.76069",788,3,317,33,0,0,243,418,2,422,399,137,17,180,316,10,23,185,18,41,21,11,0,152,20,70,0,333,56,96,388,0
"2015/2016","newcastle","newcastle","amajuba","29.93826","-27.76069",802,6,354,38,1,0,239,500,4,384,410,121,8,189,357,16,2,178,18,42,24,29,0,212,14,61,1,316,49,100,404,1
"2016/2017","newcastle","newcastle","amajuba","29.93826","-27.76069",755,2,311,25,2,0,237,583,3,453,419,101,4,205,482,13,17,152,24,26,35,24,0,228,17,47,1,296,57,75,395,0
"2017/2018","newcastle","newcastle","amajuba","29.93826","-27.76069",733,0,231,31,3,0,165,481,2,526,416,101,4,283,595,20,23,132,19,36,24,22,0,187,7,48,0,324,61,59,287,1
"2018/2019","newcastle","newcastle","amajuba","29.93826","-27.76069",798,3,251,29,0,0,215,587,4,503,474,131,8,307,508,9,25,167,15,30,19,16,0,226,15,49,0,258,69,60,359,0
"2019/2020","newcastle","newcastle","amajuba","29.93826","-27.76069",806,1,240,18,3,0,197,581,2,521,491,89,9,310,476,1,22,156,24,35,19,9,0,140,13,56,1,261,69,61,357,1
"2020/2021","newcastle","newcastle","amajuba","29.93826","-27.76069",720,4,207,4,0,0,287,551,3,406,385,57,4,205,227,6,14,158,32,37,12,25,0,112,7,46,0,236,61,40,227,2
"2021/2022","newcastle","newcastle","amajuba","29.93826","-27.76069",924,6,240,21,1,0,230,464,2,587,498,57,6,255,320,39,2,167,20,35,12,18,1,129,18,54,0,223,49,78,204,0
"2022/2023","newcastle","newcastle","amajuba","29.93826","-27.76069",909,3,264,28,2,0,132,408,4,684,571,93,7,83,362,37,26,234,34,51,22,22,0,167,12,66,0,274,73,33,206,0
"2008/2009","newark","mandeni","ilembe","31.4125","-29.19994",19,3,19,9,0,0,9,55,8,1,16,5,9,1,33,14,1,10,6,23,0,14,0,28,4,32,0,0,3,7,5,0
"2009/2010","newark","mandeni","ilembe","31.4125","-29.19994",15,2,35,4,2,0,4,25,1,0,16,0,16,6,33,8,1,9,8,10,2,6,0,19,3,25,0,0,5,10,8,0
"2010/2011","newark","mandeni","ilembe","31.4125","-29.19994",32,0,28,10,0,0,3,47,1,0,17,1,10,3,36,9,1,6,7,18,5,5,0,16,3,27,0,0,5,9,8,0
"2011/2012","newark","mandeni","ilembe","31.4125","-29.19994",68,0,41,11,0,0,7,32,1,1,19,2,5,3,46,5,1,12,3,19,3,10,0,18,2,24,1,0,3,8,4,0
"2012/2013","newark","mandeni","ilembe","31.4125","-29.19994",38,1,45,13,0,0,6,42,2,2,24,4,5,8,50,7,1,14,8,20,3,16,0,30,2,25,0,0,1,4,9,0
"2013/2014","newark","mandeni","ilembe","31.4125","-29.19994",42,2,38,12,0,0,6,44,2,0,22,5,4,13,74,13,21,10,5,19,4,9,0,20,1,22,0,0,2,0,8,0
"2014/2015","newark","mandeni","ilembe","31.4125","-29.19994",31,2,43,12,1,0,8,32,5,2,20,0,7,2,82,5,13,12,13,23,3,11,0,27,0,25,0,0,4,3,4,0
"2015/2016","newark","mandeni","ilembe","31.4125","-29.19994",24,0,25,4,0,0,8,24,4,2,15,2,7,4,102,11,12,11,6,14,4,1,0,14,2,17,0,0,2,6,2,0
"2016/2017","newark","mandeni","ilembe","31.4125","-29.19994",16,1,31,7,0,0,11,29,2,0,16,1,7,5,91,4,13,6,7,14,5,6,0,16,1,16,0,0,7,6,6,1
"2017/2018","newark","mandeni","ilembe","31.4125","-29.19994",21,0,48,11,1,0,15,34,3,3,17,2,6,4,100,12,13,10,4,22,8,11,0,28,2,25,0,0,4,7,2,0
"2018/2019","newark","mandeni","ilembe","31.4125","-29.19994",12,3,25,13,1,0,12,31,3,2,22,0,7,1,42,3,12,18,11,21,2,6,0,12,0,23,0,0,3,4,9,0
"2019/2020","newark","mandeni","ilembe","31.4125","-29.19994",24,1,36,7,0,0,10,34,3,0,11,1,7,3,2,2,13,13,10,16,4,3,0,11,3,20,0,0,8,7,11,0
"2020/2021","newark","mandeni","ilembe","31.4125","-29.19994",25,1,29,3,0,0,9,22,0,9,12,2,4,2,2,30,13,19,8,15,1,5,0,7,3,20,0,0,10,5,6,0
"2021/2022","newark","mandeni","ilembe","31.4125","-29.19994",31,1,22,12,0,0,3,22,1,0,9,0,6,0,0,3,12,15,16,18,3,14,0,23,1,19,0,0,3,2,4,0
"2022/2023","newark","mandeni","ilembe","31.4125","-29.19994",24,3,33,16,0,0,6,29,2,0,20,1,6,0,2,7,12,11,10,19,2,4,0,9,5,24,0,0,8,2,1,0
"2008/2009","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",93,4,71,6,3,0,7,78,0,9,38,5,5,4,81,4,1,12,6,14,0,4,0,8,1,21,0,0,10,3,7,0
"2009/2010","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",106,2,65,2,2,0,20,74,0,8,61,5,6,4,85,6,1,32,7,23,1,2,0,7,1,26,0,0,7,3,5,0
"2010/2011","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",64,0,69,4,0,0,2,67,0,2,35,9,6,3,106,2,1,28,5,22,0,2,0,3,2,24,0,0,11,3,11,0
"2011/2012","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",57,0,55,1,0,0,18,76,0,2,19,7,5,4,145,6,1,18,6,15,3,2,0,6,2,20,0,0,3,4,4,0
"2012/2013","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",49,2,71,7,0,0,22,65,1,3,24,11,6,2,161,6,1,19,4,26,2,2,0,7,0,26,0,0,4,7,10,0
"2013/2014","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",99,1,67,4,0,0,18,86,1,5,32,8,6,3,138,2,13,16,4,16,1,4,0,9,0,16,0,0,12,5,13,0
"2014/2015","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",105,0,68,6,0,0,14,81,2,6,36,17,6,5,120,5,17,31,6,19,0,3,0,14,2,21,0,1,3,0,4,0
"2015/2016","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",98,0,88,12,0,0,14,95,3,5,37,12,6,3,138,5,12,35,12,17,3,12,0,22,2,19,0,0,9,3,18,0
"2016/2017","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",87,1,69,9,0,0,10,76,2,2,30,8,6,3,143,1,14,39,5,26,3,3,0,13,1,27,0,0,14,4,10,0
"2017/2018","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",64,0,59,7,0,0,17,74,1,5,23,6,6,4,124,8,12,19,6,21,4,1,0,17,5,26,0,0,3,3,3,0
"2018/2019","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",64,0,54,7,0,0,12,79,0,14,20,6,6,3,51,2,13,19,5,26,5,3,0,17,4,30,0,0,5,2,6,0
"2019/2020","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",71,1,90,7,0,0,7,71,1,9,18,2,6,1,7,8,13,26,8,27,4,2,0,12,2,29,0,0,9,8,10,0
"2020/2021","new hanover","umshwathi","umgungundlovu","30.52769","-29.35433",42,0,59,3,0,0,26,77,1,2,22,4,6,0,0,14,13,22,11,26,5,2,0,16,2,28,0,0,4,6,15,0
