Station,Crime_Category,Incidents,Year
Aggeneys,Illegal possession of firearms and ammunition,0,2025/2026
Aggeneys,Kidnapping,0,2025/2026
Aggeneys,Malicious damage to property,3,2025/2026
Aggeneys,Murder,0,2025/2026
Aggeneys,Neglect and ill-treatment of children,0,2025/2026
Aggeneys,Other serious Crime,16,2025/2026
Aggeneys,Property-related Crime,0,2025/2026
Aggeneys,Public violence,0,2025/2026
Aggeneys,Rape,3,2025/2026
Aggeneys,Robbery at non-residential premises,0,2025/2026
Aggeneys,Robbery at residential premises,0,2025/2026
Aggeneys,Robbery of cash in transit,0,2025/2026
Aggeneys,Robbery with aggravating circumstances,0,2025/2026
Aggeneys,Sexual assault,2,2025/2026
Aggeneys,Sexual offences,5,2025/2026
Aggeneys,Sexual offences detected as a result of police action,0,2025/2026
Aggeneys,Shoplifting,3,2025/2026
Aggeneys,Stock-theft,0,2025/2026
Aggeneys,TRIO Crime,0,2025/2026
Aggeneys,Theft of motor vehicle and motorcycle,0,2025/2026
Aggeneys,Theft out of or from motor vehicle,0,2025/2026
Aggeneys,Truck hijacking,0,2025/2026
Akasia,17 Community reported serious Crime,5517,2025/2026
Akasia,Abduction,0,2025/2026
Akasia,All theft not mentioned elsewhere,1154,2025/2026
Akasia,Arson,7,2025/2026
Akasia,Assault with the intent to inflict grievous bodily harm,431,2025/2026
Akasia,Attempted murder,56,2025/2026
Akasia,Attempted sexual offences,4,2025/2026
Akasia,Bank robbery,0,2025/2026
Akasia,Burglary at non-residential premises,84,2025/2026
Akasia,Burglary at residential premises,597,2025/2026
Akasia,Carjacking,170,2025/2026
Akasia,Commercial crime,325,2025/2026
Akasia,Common assault,728,2025/2026
Akasia,Common robbery,129,2025/2026
Akasia,Contact crime (Crimes against the person),2209,2025/2026
Akasia,Contact sexual offences,0,2025/2026
Akasia,Contact-related Crime,396,2025/2026
Akasia,Crime detected as a result of police action,401,2025/2026
Akasia,Crimen injuria,18,2025/2026
Akasia,Culpable homicide,27,2025/2026
Akasia,Driving under the influence of alcohol or drugs,204,2025/2026
Akasia,Drug-related crime,158,2025/2026
Akasia,Illegal possession of firearms and ammunition,39,2025/2026
Akasia,Kidnapping,95,2025/2026
Akasia,Malicious damage to property,389,2025/2026
Akasia,Murder,60,2025/2026
Akasia,Neglect and ill-treatment of children,10,2025/2026
Akasia,Other serious Crime,1606,2025/2026
Akasia,Property-related Crime,1306,2025/2026
Akasia,Public violence,3,2025/2026
Akasia,Rape,98,2025/2026
Akasia,Robbery at non-residential premises,32,2025/2026
Akasia,Robbery at residential premises,113,2025/2026
Akasia,Robbery of cash in transit,1,2025/2026
Akasia,Robbery with aggravating circumstances,679,2025/2026
Akasia,Sexual assault,24,2025/2026
Akasia,Sexual offences,126,2025/2026
Akasia,Sexual offences detected as a result of police action,0,2025/2026
Akasia,Shoplifting,127,2025/2026
Akasia,Stock-theft,1,2025/2026
Akasia,TRIO Crime,315,2025/2026
Akasia,Theft of motor vehicle and motorcycle,173,2025/2026
Akasia,Theft out of or from motor vehicle,451,2025/2026
Akasia,Truck hijacking,21,2025/2026
Albertinia,17 Community reported serious Crime,626,2025/2026
Albertinia,Abduction,0,2025/2026
Albertinia,All theft not mentioned elsewhere,203,2025/2026
Albertinia,Arson,2,2025/2026
Albertinia,Assault with the intent to inflict grievous bodily harm,61,2025/2026
Albertinia,Attempted murder,4,2025/2026
Albertinia,Attempted sexual offences,0,2025/2026
Albertinia,Bank robbery,0,2025/2026
Albertinia,Burglary at non-residential premises,9,2025/2026
Albertinia,Burglary at residential premises,69,2025/2026
Albertinia,Carjacking,0,2025/2026
Albertinia,Commercial crime,44,2025/2026
Albertinia,Common assault,123,2025/2026
Albertinia,Common robbery,3,2025/2026
Albertinia,Contact crime (Crimes against the person),207,2025/2026
Albertinia,Contact sexual offences,0,2025/2026
Albertinia,Contact-related Crime,60,2025/2026
Albertinia,Crime detected as a result of police action,514,2025/2026
Albertinia,Crimen injuria,13,2025/2026
Albertinia,Culpable homicide,2,2025/2026
Albertinia,Driving under the influence of alcohol or drugs,20,2025/2026
Albertinia,Drug-related crime,490,2025/2026
Albertinia,Illegal possession of firearms and ammunition,4,2025/2026
Albertinia,Kidnapping,1,2025/2026
Albertinia,Malicious damage to property,58,2025/2026
Albertinia,Murder,3,2025/2026
Albertinia,Neglect and ill-treatment of children,1,2025/2026
Albertinia,Other serious Crime,251,2025/2026
Albertinia,Property-related Crime,108,2025/2026
Albertinia,Public violence,0,2025/2026
Albertinia,Rape,5,2025/2026
Albertinia,Robbery at non-residential premises,1,2025/2026
Albertinia,Robbery at residential premises,0,2025/2026
Albertinia,Robbery of cash in transit,0,2025/2026
Albertinia,Robbery with aggravating circumstances,4,2025/2026
Albertinia,Sexual assault,4,2025/2026
Albertinia,Sexual offences,9,2025/2026
Albertinia,Sexual offences detected as a result of police action,0,2025/2026
Albertinia,Shoplifting,4,2025/2026
Albertinia,Stock-theft,9,2025/2026
Albertinia,TRIO Crime,1,2025/2026
Albertinia,Theft of motor vehicle and motorcycle,1,2025/2026
Albertinia,Theft out of or from motor vehicle,20,2025/2026
Albertinia,Truck hijacking,0,2025/2026
Alberton,17 Community reported serious Crime,2190,2025/2026
Alberton,Abduction,0,2025/2026
Alberton,All theft not mentioned elsewhere,320,2025/2026
Alberton,Arson,0,2025/2026
Alberton,Assault with the intent to inflict grievous bodily harm,156,2025/2026
Alberton,Attempted murder,44,2025/2026
Alberton,Attempted sexual offences,2,2025/2026
Alberton,Bank robbery,0,2025/2026
Alberton,Burglary at non-residential premises,78,2025/2026
Alberton,Burglary at residential premises,135,2025/2026
Alberton,Carjacking,162,2025/2026
Alberton,Commercial crime,223,2025/2026
Alberton,Common assault,206,2025/2026
Alberton,Common robbery,24,2025/2026
Alberton,Contact crime (Crimes against the person),901,2025/2026
Alberton,Contact sexual offences,0,2025/2026
Alberton,Contact-related Crime,116,2025/2026
Alberton,Crime detected as a result of police action,563,2025/2026
Alberton,Crimen injuria,52,2025/2026
Alberton,Culpable homicide,38,2025/2026
Alberton,Driving under the influence of alcohol or drugs,129,2025/2026
Alberton,Drug-related crime,407,2025/2026
Alberton,Illegal possession of firearms and ammunition,26,2025/2026
Alberton,Kidnapping,121,2025/2026
Alberton,Malicious damage to property,116,2025/2026
Alberton,Murder,44,2025/2026
Alberton,Neglect and ill-treatment of children,5,2025/2026
Alberton,Other serious Crime,749,2025/2026
Alberton,Property-related Crime,424,2025/2026
Alberton,Public violence,0,2025/2026
Alberton,Rape,54,2025/2026
Alberton,Robbery at non-residential premises,42,2025/2026
Alberton,Robbery at residential premises,37,2025/2026
Alberton,Robbery of cash in transit,0,2025/2026
Alberton,Robbery with aggravating circumstances,363,2025/2026
Alberton,Sexual assault,8,2025/2026
Alberton,Sexual offences,64,2025/2026
Alberton,Sexual offences detected as a result of police action,1,2025/2026
Alberton,Shoplifting,206,2025/2026
Alberton,Stock-theft,0,2025/2026
Alberton,TRIO Crime,241,2025/2026
Alberton,Theft of motor vehicle and motorcycle,154,2025/2026
Alberton,Theft out of or from motor vehicle,57,2025/2026
Alberton,Truck hijacking,48,2025/2026
Alexander Bay,17 Community reported serious Crime,58,2025/2026
Alexander Bay,Abduction,0,2025/2026
Alexander Bay,All theft not mentioned elsewhere,7,2025/2026
Alexander Bay,Arson,1,2025/2026
Alexander Bay,Assault with the intent to inflict grievous bodily harm,8,2025/2026
Alexander Bay,Attempted murder,1,2025/2026
Alexander Bay,Attempted sexual offences,1,2025/2026
Alexander Bay,Bank robbery,0,2025/2026
Alexander Bay,Burglary at non-residential premises,1,2025/2026
Alexander Bay,Burglary at residential premises,15,2025/2026
Alexander Bay,Carjacking,0,2025/2026
Alexander Bay,Commercial crime,2,2025/2026
Alexander Bay,Common assault,7,2025/2026
Alexander Bay,Common robbery,0,2025/2026
Alexander Bay,Contact crime (Crimes against the person),24,2025/2026
Alexander Bay,Contact sexual offences,0,2025/2026
Alexander Bay,Contact-related Crime,5,2025/2026
Alexander Bay,Crime detected as a result of police action,11,2025/2026
Alexander Bay,Crimen injuria,1,2025/2026
Alexander Bay,Culpable homicide,1,2025/2026
Alexander Bay,Driving under the influence of alcohol or drugs,0,2025/2026
Alexander Bay,Drug-related crime,11,2025/2026
Alexander Bay,Illegal possession of firearms and ammunition,0,2025/2026
Alexander Bay,Kidnapping,0,2025/2026
Alexander Bay,Malicious damage to property,4,2025/2026
Alexander Bay,Murder,1,2025/2026
Alexander Bay,Neglect and ill-treatment of children,0,2025/2026
Alexander Bay,Other serious Crime,9,2025/2026
Alexander Bay,Property-related Crime,20,2025/2026
Alexander Bay,Public violence,0,2025/2026
Alexander Bay,Rape,3,2025/2026
Alexander Bay,Robbery at non-residential premises,0,2025/2026
Alexander Bay,Robbery at residential premises,0,2025/2026
Alexander Bay,Robbery of cash in transit,0,2025/2026
Alexander Bay,Robbery with aggravating circumstances,0,2025/2026
Alexander Bay,Sexual assault,3,2025/2026
Alexander Bay,Sexual offences,7,2025/2026
Alexander Bay,Sexual offences detected as a result of police action,0,2025/2026
Alexander Bay,Shoplifting,0,2025/2026
Alexander Bay,Stock-theft,1,2025/2026
Alexander Bay,TRIO Crime,0,2025/2026
Alexander Bay,Theft of motor vehicle and motorcycle,0,2025/2026
Alexander Bay,Theft out of or from motor vehicle,3,2025/2026
Alexander Bay,Truck hijacking,0,2025/2026
Alexandra,17 Community reported serious Crime,5006,2025/2026
Alexandra,Abduction,0,2025/2026
Alexandra,All theft not mentioned elsewhere,392,2025/2026
Alexandra,Arson,5,2025/2026
Alexandra,Assault with the intent to inflict grievous bodily harm,600,2025/2026
Alexandra,Attempted murder,142,2025/2026
Alexandra,Attempted sexual offences,6,2025/2026
Alexandra,Bank robbery,0,2025/2026
Alexandra,Burglary at non-residential premises,45,2025/2026
Alexandra,Burglary at residential premises,151,2025/2026
Alexandra,Carjacking,227,2025/2026
Alexandra,Commercial crime,505,2025/2026
Alexandra,Common assault,988,2025/2026
Alexandra,Common robbery,185,2025/2026
Alexandra,Contact crime (Crimes against the person),2897,2025/2026
Alexandra,Contact sexual offences,2,2025/2026
Alexandra,Contact-related Crime,473,2025/2026
Alexandra,Crime detected as a result of police action,652,2025/2026
Alexandra,Crimen injuria,14,2025/2026
Alexandra,Culpable homicide,4,2025/2026
Alexandra,Driving under the influence of alcohol or drugs,340,2025/2026
Alexandra,Drug-related crime,251,2025/2026
Alexandra,Illegal possession of firearms and ammunition,60,2025/2026
Alexandra,Kidnapping,107,2025/2026
Alexandra,Malicious damage to property,468,2025/2026
